"","X.1","X","Region","Year","Taxon","Depth","Length"
"507",37827,37827,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",93.5,42
"508",37828,37828,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",93.5,32
"509",37829,37829,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",93.5,46
"510",37830,37830,"Elephant Island",2018,"parachaenichthys_charcoti",93.5,20
"511",37842,37842,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"512",37843,37843,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"513",37844,37844,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,46
"514",37845,37845,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,54
"515",37846,37846,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,48
"516",37847,37847,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,54
"517",37848,37848,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"518",37849,37849,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,40
"519",37850,37850,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,43
"520",37851,37851,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,42
"521",37852,37852,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,40
"522",37853,37853,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"523",37854,37854,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"524",37855,37855,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,44
"525",37856,37856,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,45
"526",37857,37857,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,44
"527",37858,37858,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,53
"528",37859,37859,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,43
"529",37860,37860,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"530",37861,37861,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,40
"531",37862,37862,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,38
"532",37863,37863,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,44
"533",37864,37864,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,37
"534",37865,37865,"Elephant Island",2018,"notothenia_corriceps-nototheniidae",96,41
"535",37866,37866,"Elephant Island",2018,"chaenocephalus_aceratus-channichthyidae",96,47
