"","Old","Comp1","Comp2","New","SizeData","LogSize"
"histiodraco_velifer-artedidraconidae","histiodraco_velifer-artedidraconidae",0.024452443209809,-0.0428198609175649,"Histiodraco velifer",20.8999996185303,3.03974914071863
"nototheniid_dissostichus_mawsoni-artedidraconidae","nototheniid_dissostichus_mawsoni",0.0574120077752188,-0.0502466173747744,"Dissostichus mawsoni",200,5.29831736654804
"nototheniids_aethotaxis_mitopteryx-artedidraconidae","nototheniids_aethotaxis_mitopteryx",0.0574818788936649,0.0548291903764615,"Aethotaxis mitopteryx",44.2999992370605,3.79098465982898
"nototheniids_pleuragramma_antarcticum-artedidraconidae","nototheniids_pleuragramma_antarcticum",0.0751893791882175,0.0737079613800019,"Pleuragramma antarcticum",26.6000003814697,3.28091123012862
"trematomus_nicolai-trematominae","trematomus_nicolai-trematominae",0.0348067558653566,-0.0475107774080394,"Trematomus nicolai",36,3.58351893845611
"trematomus_scotti-trematominae","trematomus_scotti-trematominae",-0.00234636269885858,-0.0430764024086707,"Trematomus scotti",24.7000007629395,3.20680327452217
